ID,registration_started,registration_finished,campus,program,"Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most4","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most5","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most6","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most7","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most8","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most9","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most10","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most11","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most12","Select 3 workshops in a prioritised order, where 1 is the workshop you want to attend the most13",Tværfagligt problemdesign,Systemtænkning i ingeniørvidenskab,Etisk teknologivurdering,Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,Facilitering af produktive møder,Digitale praksisser i projektarbejdet,SCRUM-teknikker i projektarbejdet,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Ethical technology assessment,Psychological safety in team work,Professional communication with external partners,Leadership and project management,Digital and hybrid practices in collaborative work,Professional identity development,Interdisciplinary problem design,Systems thinking in engineering,Collaboration across discplines,Facilitation of productive meeting,SCRUM-techniques in project work?,Generative AI in study practices?,"Motivation, well-being and work-life balance?",Creativity and entrepeneurship,Psychological safety in teamwork,Digital practices in project work,SUMA,Tværfagligt problemdesign.1,Systemtænkning i ingeniørvidenskab.1,Etisk teknologivurdering.1,Psykologisk tryghed i teams.1,Samarbejde på tværs af fagligheder.1,Facilitering af produktive møder.1,Digitale praksisser i projektarbejdet.1,SCRUM-teknikker i projektarbejdet.1,Generativ AI i studiepraksis.1,"Motivation, trivsel og work-life balance.1",Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day).1,Clarification of individual professional competences.1,Ethical technology assessment?,Psychological safety in team work.1,Professional communication with external partners.1,Leadership and project management.1,Digital and hybrid practices in collaborative work.1,Professional identity development.1,Interdisciplinary problem design.1,Systems thinking in engineering.1,Collaboration across discplines.1,Facilitation of productive meeting.1,SCRUM-techniques in project work?.1,Generative AI in study practices?.1,"Motivation, well-being and work-life balance?.1",Creativity and entrepeneurship.1,Psychological safety in teamwork.1,Digital practices in project work.1
51,2025-02-10 15:29:27.190196154,2025-02-10 15:35:42.928313307,CPH,bachelor,Tværfagligt problemdesign,Digitale praksisser i projektarbejdet,Facilitation of productive meeting,Samarbejde på tværs af fagligheder,Etisk teknologivurdering,Systemtænkning i ingeniørvidenskab,Facilitering af produktive møder,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,Facilitering af produktive møder,1,,,,,,2,,,,,,,,,,,,,,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2025-02-13 10:48:26.500202004,2025-02-13 10:52:21.830682241,CPH,bachelor,Facilitering af produktive møder,Psychological safety in teamwork,Generativ AI i studiepraksis,Digital practices in project work,SCRUM-techniques in project work?,Interdisciplinary problem design,SCRUM-teknikker i projektarbejdet,Collaboration across discplines,Facilitation of productive meeting,Systemtænkning i ingeniørvidenskab,,,,,,1,,,3,,,,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2025-02-11 18:12:31.064638634,2025-02-11 18:13:27.045907103,CPH,bachelor,Etisk teknologivurdering,Collaboration across discplines,Generativ AI i studiepraksis,SCRUM-techniques in project work?,Samarbejde på tværs af fagligheder,Interdisciplinary problem design,Digital practices in project work,SCRUM-teknikker i projektarbejdet,SCRUM-teknikker i projektarbejdet,"Motivation, trivsel og work-life balance",,,1,,,,,,3,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2025-02-11 21:32:40.085674925,2025-02-11 21:36:13.581440806,CPH,master,Creativity and entrepeneurship,Psychological safety in team work,Professional identity development,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional communication with external partners,Ethical technology assessment,,,,,,,,,,,,,,,,2,,,,3,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2025-02-12 12:26:52.702703672,2025-02-12 12:28:57.114282985,CPH,bachelor,"Motivation, trivsel og work-life balance",Tværfagligt problemdesign,Etisk teknologivurdering,Digitale praksisser i projektarbejdet,Interdisciplinary problem design,Ethical technology assessment?,Generative AI in study practices?,Generativ AI i studiepraksis,Generativ AI i studiepraksis,SCRUM-teknikker i projektarbejdet,2,,3,,,,,,,1,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2025-02-11 10:34:43.350615120,2025-02-11 10:37:46.119204208,ESB,bachelor,Etisk teknologivurdering,Interdisciplinary problem design,Facilitation of productive meeting,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,Tværfagligt problemdesign,Psychological safety in teamwork,SCRUM-techniques in project work?,Facilitation of productive meeting,"Motivation, trivsel og work-life balance",,,1,,,,,,,,,,,,,,,,2,,,3,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2025-02-12 00:09:26.238245132,2025-02-12 00:11:19.361236114,AAL,bachelor,Facilitering af produktive møder,Ethical technology assessment,Interdisciplinary problem design,Ethical technology assessment?,Tværfagligt problemdesign,Collaboration across discplines,Digitale praksisser i projektarbejdet,"Motivation, well-being and work-life balance?",Psykologisk tryghed i teams,Ethical technology assessment?,,,,,,1,,,,,,,2,,,,,,3,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2025-02-10 14:03:10.811760994,2025-02-10 14:08:02.758649881,CPH,master,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Professional identity development,Digital and hybrid practices in collaborative work,Leadership and project management,Ethical technology assessment,Professional communication with external partners,Psychological safety in team work,,,,,,,,,,,,,2,,,,,,,3,,,,,,,,1,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2025-02-13 21:53:03.290515485,2025-02-13 21:56:27.694358391,AAL,bachelor,Generative AI in study practices?,Interdisciplinary problem design,Collaboration across discplines,Tværfagligt problemdesign,"Motivation, well-being and work-life balance?",Etisk teknologivurdering,Digital practices in project work,Ethical technology assessment?,Digital practices in project work,"Motivation, well-being and work-life balance?",,,,,,,,,,,,,,,,,,,2,,3,,,1,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2025-02-13 12:30:14.624377412,2025-02-13 12:32:31.265619218,CPH,master,Leadership and project management,Clarification of individual professional competences,Professional communication with external partners,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Ethical technology assessment,Creativity and entrepeneurship,,,,,,,,,,,,,,2,,,3,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2025-02-13 13:19:58.940351359,2025-02-13 18:40:28.868484957,CPH,bachelor,"Motivation, well-being and work-life balance?",Psykologisk tryghed i teams,Samarbejde på tværs af fagligheder,"Motivation, trivsel og work-life balance",Interdisciplinary problem design,Generativ AI i studiepraksis,Tværfagligt problemdesign,Psychological safety in teamwork,Tværfagligt problemdesign,"Motivation, well-being and work-life balance?",,,,2,3,,,,,,,,,,,,,,,,,,,,1,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,2025-02-12 13:19:45.869998535,2025-02-12 13:23:39.130456636,CPH,master,Ethical technology assessment,Psychological safety in team work,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Creativity and entrepeneurship,Leadership and project management,Clarification of individual professional competences,Professional communication with external partners,,,,,,,,,,,,,,,1,2,,,3,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2025-02-10 09:59:25.365902473,2025-02-10 14:01:29.966691273,ESB,master,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,Psychological safety in team work,Professional identity development,Digital and hybrid practices in collaborative work,Clarification of individual professional competences,Ethical technology assessment,Professional communication with external partners,,,,,,,,,,,,,1,,,3,,2,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,2025-02-11 10:45:43.138210452,2025-02-11 11:33:21.936767683,ESB,bachelor,Ethical technology assessment,Psykologisk tryghed i teams,Systems thinking in engineering,Etisk teknologivurdering,Tværfagligt problemdesign,"Motivation, trivsel og work-life balance",Systemtænkning i ingeniørvidenskab,Facilitering af produktive møder,Facilitering af produktive møder,Generative AI in study practices?,,,,2,,,,,,,,,1,,,,,,,3,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,2025-02-12 09:04:59.443080622,2025-02-12 09:11:40.799614460,CPH,master,Leadership and project management,Clarification of individual professional competences,Professional communication with external partners,Psychological safety in team work,Professional identity development,Creativity and entrepeneurship,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,,,,,,,,,,,,,,2,,,3,1,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,2025-02-13 14:17:25.463148768,2025-02-13 14:52:00.607132246,ESB,bachelor,Etisk teknologivurdering,Systems thinking in engineering,"Motivation, trivsel og work-life balance",SCRUM-techniques in project work?,Tværfagligt problemdesign,SCRUM-teknikker i projektarbejdet,Facilitation of productive meeting,Systemtænkning i ingeniørvidenskab,Psychological safety in teamwork,"Motivation, well-being and work-life balance?",,,1,,,,,,,3,,,,,,,,,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2025-02-12 16:26:19.935413313,2025-02-12 16:30:06.956677132,ESB,master,Digital and hybrid practices in collaborative work,Ethical technology assessment,Clarification of individual professional competences,Leadership and project management,Psychological safety in team work,Professional identity development,Professional communication with external partners,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),,,,,,,,,,,,,,3,2,,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2025-02-13 10:57:53.786397147,2025-02-13 10:59:26.105988350,ESB,bachelor,Samarbejde på tværs af fagligheder,Etisk teknologivurdering,Generativ AI i studiepraksis,Systemtænkning i ingeniørvidenskab,Generative AI in study practices?,Digital practices in project work,Facilitering af produktive møder,Tværfagligt problemdesign,Generative AI in study practices?,Etisk teknologivurdering,,,2,,1,,,,3,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2025-02-11 23:50:06.415583414,2025-02-11 23:54:14.270935221,ESB,master,Digital and hybrid practices in collaborative work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Creativity and entrepeneurship,Professional identity development,Professional communication with external partners,Leadership and project management,Ethical technology assessment,,,,,,,,,,,,,2,,,3,,,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2025-02-12 21:21:10.152833589,2025-02-12 21:36:49.925629844,AAL,bachelor,Generativ AI i studiepraksis,Psychological safety in teamwork,Samarbejde på tværs af fagligheder,Etisk teknologivurdering,Ethical technology assessment?,Systemtænkning i ingeniørvidenskab,Facilitation of productive meeting,Digital practices in project work,Etisk teknologivurdering,Generative AI in study practices?,,,,,3,,,,1,,,,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2025-02-11 13:21:31.204699344,2025-02-11 13:25:28.166634793,ESB,bachelor,Digital practices in project work,Samarbejde på tværs af fagligheder,Facilitation of productive meeting,Psykologisk tryghed i teams,SCRUM-teknikker i projektarbejdet,Ethical technology assessment?,Generative AI in study practices?,Generativ AI i studiepraksis,"Motivation, trivsel og work-life balance",Samarbejde på tværs af fagligheder,,,,,2,,,,,,,,,,,,,,,,,3,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2025-02-10 08:56:46.429484005,2025-02-10 08:59:27.178048896,AAL,master,Professional identity development,Clarification of individual professional competences,Ethical technology assessment,Professional communication with external partners,Digital and hybrid practices in collaborative work,Psychological safety in team work,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Leadership and project management,,,,,,,,,,,,,,2,3,,,,,1,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2025-02-11 20:33:01.812170141,2025-02-11 21:08:23.955932844,AAL,master,Professional communication with external partners,Professional identity development,Clarification of individual professional competences,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Digital and hybrid practices in collaborative work,Psychological safety in team work,Ethical technology assessment,Creativity and entrepeneurship,,,,,,,,,,,,,,3,,,1,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2025-02-11 19:00:09.779980354,2025-02-11 19:47:48.095726833,CPH,bachelor,Tværfagligt problemdesign,SCRUM-teknikker i projektarbejdet,Digitale praksisser i projektarbejdet,Etisk teknologivurdering,Generativ AI i studiepraksis,Facilitering af produktive møder,Collaboration across discplines,Digital practices in project work,"Motivation, trivsel og work-life balance",Samarbejde på tværs af fagligheder,1,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2025-02-09 13:35:19.079179624,2025-02-09 13:39:00.094791444,CPH,bachelor,Samarbejde på tværs af fagligheder,Collaboration across discplines,Generativ AI i studiepraksis,Digital practices in project work,Systems thinking in engineering,Facilitation of productive meeting,Etisk teknologivurdering,Psychological safety in teamwork,Digital practices in project work,Samarbejde på tværs af fagligheder,,,,,1,,,,3,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2025-02-07 13:24:04.594854746,2025-02-07 13:29:23.002929905,CPH,bachelor,Generativ AI i studiepraksis,Psychological safety in teamwork,Tværfagligt problemdesign,Samarbejde på tværs af fagligheder,Systems thinking in engineering,SCRUM-teknikker i projektarbejdet,Facilitation of productive meeting,Digitale praksisser i projektarbejdet,SCRUM-techniques in project work?,Samarbejde på tværs af fagligheder,3,,,,,,,,1,,,,,,,,,,,,,,,,,,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2025-02-10 11:27:12.439607958,2025-02-10 11:35:01.491993982,ESB,bachelor,Systemtænkning i ingeniørvidenskab,Facilitation of productive meeting,Ethical technology assessment,Interdisciplinary problem design,Psychological safety in teamwork,Samarbejde på tværs af fagligheder,Psykologisk tryghed i teams,Tværfagligt problemdesign,Digital practices in project work,"Motivation, well-being and work-life balance?",,1,,,,,,,,,,,3,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2025-02-10 13:00:45.653715842,2025-02-10 13:03:10.609590835,AAL,master,Digital and hybrid practices in collaborative work,Leadership and project management,Professional communication with external partners,Ethical technology assessment,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Psychological safety in team work,Creativity and entrepeneurship,,,,,,,,,,,,,,,,,3,2,1,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2025-02-13 11:43:33.090560481,2025-02-13 11:44:50.195355944,CPH,master,Psychological safety in team work,Creativity and entrepeneurship,Clarification of individual professional competences,Professional identity development,Professional communication with external partners,Digital and hybrid practices in collaborative work,Leadership and project management,Ethical technology assessment,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,2,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2025-02-09 21:11:41.114493439,2025-02-09 21:15:03.940578833,ESB,bachelor,Facilitering af produktive møder,Facilitation of productive meeting,SCRUM-teknikker i projektarbejdet,Ethical technology assessment?,Generativ AI i studiepraksis,Etisk teknologivurdering,Digitale praksisser i projektarbejdet,SCRUM-techniques in project work?,Digital practices in project work,Psykologisk tryghed i teams,,,,,,1,,3,,,,,,,,,,,,,,2,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2025-02-10 19:15:24.339743306,2025-02-10 19:29:39.378786979,ESB,master,Professional identity development,Leadership and project management,Creativity and entrepeneurship,Digital and hybrid practices in collaborative work,Ethical technology assessment,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Clarification of individual professional competences,Psychological safety in team work,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,3,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2025-02-11 11:01:18.209373257,2025-02-11 11:03:11.974803871,ESB,master,Clarification of individual professional competences,Psychological safety in team work,Professional communication with external partners,Digital and hybrid practices in collaborative work,Professional identity development,Creative and systems thinking for complex problem-solving (whole day workshop - you are then attending 1 workshop the whole day),Ethical technology assessment,Leadership and project management,,,,,,,,,,,,,,1,,2,3,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
